"GEOID","MAMMOUSE_CrudePrev","MAMMOUSE_Crude95CI"
"06085504321","76.7","(70.1, 82.6)"
"06085504322","76.0","(69.5, 81.8)"
"06085504323","76.9","(70.5, 82.6)"
"06085504410","73.0","(65.8, 79.3)"
"06085504411","78.5","(72.2, 83.9)"
"06085504412","79.5","(73.4, 84.6)"
"06085504413","77.1","(70.6, 83.0)"
"06085504414","76.8","(70.2, 82.6)"
"06085504415","81.0","(75.4, 85.9)"
"06085504416","76.2","(69.7, 81.8)"
"06085504418","72.7","(65.4, 79.0)"
"06085504421","79.0","(72.8, 84.3)"
"06085504422","77.6","(71.3, 83.1)"
"06085504423","77.6","(71.3, 83.3)"
"06085504424","77.4","(71.0, 82.9)"
"06085504505","78.3","(72.0, 83.7)"
"06085504506","79.1","(72.8, 84.4)"
"06085504507","76.7","(70.1, 82.5)"
"06085504508","75.6","(69.0, 81.5)"
"06085504509","81.7","(76.1, 86.5)"
"06085504510","77.6","(71.2, 83.2)"
"06085504601","78.6","(72.6, 83.8)"
"06085504602","77.1","(70.6, 82.8)"
"06085504700","80.8","(75.2, 85.6)"
"06085504802","75.0","(68.5, 81.0)"
"06085504805","77.9","(71.7, 83.5)"
"06085504806","77.2","(70.8, 82.9)"
"06085504807","80.9","(75.2, 85.8)"
"06085504808","80.5","(74.7, 85.4)"
"06085504902","81.3","(75.8, 86.1)"
"06085504903","80.9","(75.2, 85.8)"
"06085505006","80.4","(74.5, 85.5)"
"06085505007","74.7","(67.9, 80.5)"
"06085505010","79.0","(72.8, 84.2)"
"06085505011","81.1","(75.5, 86.0)"
"06085505012","81.6","(75.9, 86.4)"
"06085505013","80.4","(74.4, 85.4)"
"06085505014","78.7","(72.5, 84.0)"
"06085505015","80.9","(75.4, 85.7)"
"06085505100","76.8","(70.4, 82.4)"
"06085505202","75.7","(69.2, 81.6)"
"06085505203","74.7","(67.8, 80.6)"
"06085505301","79.0","(73.1, 84.2)"
"06085505302","78.9","(72.7, 84.1)"
"06085505303","78.6","(72.5, 83.9)"
"06085505304","79.9","(74.0, 85.0)"
"06085505305","82.4","(77.1, 87.0)"
"06085505401","80.3","(74.4, 85.3)"
"06085505402","77.3","(71.0, 82.7)"
"06085505403","77.8","(71.6, 83.4)"
"06085505500","78.3","(72.2, 83.8)"
"06085505600","77.1","(70.8, 82.7)"
"06085505700","74.1","(67.3, 80.3)"
"06085505800","80.3","(74.6, 85.4)"
"06085505901","79.1","(73.0, 84.3)"
"06085505902","78.8","(72.8, 84.1)"
"06085506000","77.0","(70.6, 82.5)"
"06085506101","79.3","(73.3, 84.4)"
"06085506102","81.6","(76.1, 86.4)"
"06085506103","79.7","(73.8, 84.8)"
"06085506202","79.4","(73.2, 84.7)"
"06085506203","77.1","(70.6, 82.7)"
"06085506204","78.4","(72.0, 83.6)"
"06085506301","80.4","(74.6, 85.5)"
"06085506302","80.6","(74.9, 85.6)"
"06085506304","78.0","(71.7, 83.4)"
"06085506305","75.4","(68.9, 81.3)"
"06085506401","76.6","(70.3, 82.3)"
"06085506402","79.5","(73.6, 84.6)"
"06085506502","81.5","(75.9, 86.2)"
"06085506503","78.2","(72.1, 83.6)"
"06085506504","73.5","(66.5, 79.5)"
"06085506505","75.9","(69.3, 81.8)"
"06085506601","78.8","(72.7, 84.1)"
"06085506603","81.4","(75.7, 86.1)"
"06085506604","81.0","(75.4, 85.9)"
"06085506605","77.9","(71.8, 83.4)"
"06085506606","78.9","(72.8, 84.0)"
"06085506701","79.4","(73.4, 84.6)"
"06085506702","80.1","(74.4, 85.2)"
"06085506703","80.4","(74.7, 85.4)"
"06085506801","80.3","(74.6, 85.3)"
"06085506802","79.9","(74.1, 84.9)"
"06085506803","79.2","(73.2, 84.4)"
"06085506804","80.0","(74.1, 85.0)"
"06085506900","79.2","(73.2, 84.5)"
"06085507002","80.9","(75.4, 85.9)"
"06085507003","79.4","(73.5, 84.5)"
"06085507004","80.3","(74.6, 85.2)"
"06085507100","81.9","(76.5, 86.7)"
"06085507203","78.0","(71.9, 83.5)"
"06085507205","80.9","(75.2, 85.8)"
"06085507206","82.1","(76.8, 86.8)"
"06085507301","80.8","(75.1, 85.8)"
"06085507302","80.8","(75.1, 85.6)"
"06085507401","80.2","(74.1, 85.2)"
"06085507402","76.2","(69.7, 81.9)"
"06085507500","81.2","(75.4, 86.2)"
"06085507600","81.8","(76.3, 86.5)"
"06085507701","81.2","(75.4, 86.1)"
"06085507702","81.9","(76.2, 86.6)"
"06085507704","80.0","(74.1, 85.1)"
"06085507705","79.1","(72.8, 84.4)"
"06085507805","79.0","(72.9, 84.3)"
"06085507806","77.4","(71.1, 82.9)"
"06085507807","81.7","(76.1, 86.5)"
"06085507808","80.8","(75.1, 85.8)"
"06085507903","80.7","(75.0, 85.7)"
"06085507904","81.9","(76.4, 86.6)"
"06085507905","80.3","(74.3, 85.2)"
"06085507906","80.4","(74.6, 85.5)"
"06085508003","79.6","(73.6, 84.8)"
"06085508004","81.5","(76.0, 86.2)"
"06085508005","79.1","(73.0, 84.3)"
"06085508006","81.4","(75.9, 86.3)"
"06085508101","80.1","(74.1, 85.2)"
"06085508102","80.9","(75.1, 85.8)"
"06085508203","80.6","(74.6, 85.6)"
"06085508204","79.4","(73.4, 84.7)"
"06085508205","81.0","(75.4, 85.8)"
"06085508206","82.0","(76.6, 86.7)"
"06085508301","79.3","(73.5, 84.5)"
"06085508303","81.8","(76.4, 86.5)"
"06085508305","78.0","(71.4, 83.4)"
"06085508306","78.2","(71.8, 83.6)"
"06085508401","80.1","(74.4, 85.2)"
"06085508403","79.0","(73.2, 84.2)"
"06085508404","80.6","(74.9, 85.6)"
"06085508503","80.1","(74.4, 85.3)"
"06085508505","79.4","(73.5, 84.5)"
"06085508507","80.2","(74.4, 85.2)"
"06085508508","79.6","(73.6, 84.7)"
"06085508509","80.9","(75.3, 85.8)"
"06085508510","78.1","(71.9, 83.4)"
"06085508601","80.7","(74.9, 85.5)"
"06085508602","80.2","(74.4, 85.2)"
"06085508705","81.2","(75.5, 86.0)"
"06085508706","81.8","(76.2, 86.5)"
"06085508707","79.3","(73.4, 84.4)"
"06085508708","80.4","(74.6, 85.5)"
"06085508800","76.7","(70.2, 82.4)"
"06085508900","77.0","(70.7, 82.6)"
"06085509001","76.2","(69.7, 82.0)"
"06085509002","75.6","(69.1, 81.4)"
"06085509102","80.0","(74.1, 85.1)"
"06085509106","77.1","(70.7, 82.7)"
"06085509107","75.7","(69.2, 81.4)"
"06085509108","79.6","(73.7, 84.6)"
"06085509109","79.8","(73.9, 84.9)"
"06085509110","81.1","(75.5, 86.0)"
"06085509111","79.1","(73.1, 84.3)"
"06085509201","81.2","(75.4, 86.0)"
"06085509202","81.6","(76.1, 86.4)"
"06085509302","81.4","(75.8, 86.2)"
"06085509303","81.8","(76.3, 86.5)"
"06085509304","76.2","(69.7, 82.0)"
"06085509401","79.0","(73.0, 84.1)"
"06085509403","78.2","(71.9, 83.6)"
"06085509404","80.4","(74.7, 85.4)"
"06085509500","78.5","(72.4, 83.8)"
"06085509600","81.0","(75.3, 85.8)"
"06085509700","81.2","(75.6, 86.0)"
"06085509801","79.4","(73.5, 84.5)"
"06085509802","80.5","(74.7, 85.6)"
"06085509901","81.5","(75.8, 86.3)"
